,message
138177,1256 PM KRISTI GIRON on 09202000 095216 AM Received from smtpemailmsncom cpimssmtpu02emailmsncom 2074618118 by gpwise01cfisdnet Tue 19 Sep 2000 143501 Received from default SMTPSVC Tue 19 Sep 2000 122133 Message Ron Jones  Raymond Paterson  Nicol Gary  Lori Horrocks  Len  KRISTI GIRON  Jim Henness EMiller  Ben Schulein boundaryXXXXReturn FW May I Carry Your Bag Sir   
68611,Please respond to  Save the Date Energy Conference in Cupertino 1doc 
5557, Savita This report has been reviewed It is ready to be sent out Thanks TARA
241427,Ill get started on Phils pc and ship Kathys next week You owe 50 or whatever you want to contribute Thanks Rob Im in Also I dont think we have settled up on Mom and Dads xmas present yet What do I owe Rob Kean  Steve  Melissa Kean EMelissa Kean 02052001 0905 EPM Please respond to robkean Its alittle early to be talking about Phils birhtday but I have had some conversations with him about replacing his PC with a more modern one that I will build for him I want to know if you want to go in with me Hell get the PC in the near future but I dont expect anyone to contribute until his birthday Heres the way it would work we give Phil a new PC I send an old Compaq of ours to Kathy and Alan Wedig Phil sends his old PC to some friends of mine who live in Duluth MN That means that our entire family will be connected If not I would send the Old Compaq to Phil otherwise and then he could send his old one to Kathy and Alan The only problem with this scenario is that Phils old PC is getting a little too old Our friends in Duluth wouldnt mind getting an old PC because theyve never owned one I thought that Phil would benefit the most from getting a brand new PC The old Compaq is will still be okay for a while and Kathy should be fine with it What do you guys think If i do this right Kathy would have a PC for her birhtday in March Rob 
378178,Please send numbers 84 and 85 Dale Rasmussen 09122000 0329 PM Don Please send 2 copies of the E2 Offering Memorandum to Tom Moore at the following address Please send for overnight delivery Tom Moore LeBoef Lamb Greene  McRae LLP 633 Seventeeth Street Suite 2000 Denver CO 80202 Tel 303 291Fax 303 297 Thanks 
117150,Drew Did you already approve this expense report and send it to accounting Denise 1050 AM DENISE LAGESSE 11162000 0404 PM Please approve the attached expense report and Thanks 
358440,Paul I have made revisions as discussed to the Master Agreement However we need to include on Exhibit A info regarding Invoices Payments etc You may either send me this information or complete the document at your convenience Please check the final revisions if in agreement print two originals sign and forward both to my attention Upon final execution I will return an original for your records It has been a pleasure working with you in finalizing this agreement Regards Debra Perlingiere Enron North America Corp Legal Department 1400 Smith Street EB 3885 Houston Texas 77002  Phone 713Fax 7136463490
259364, As agreed at last Thursdays Integration team meeting please send the names of your Enron integration counterparts I need these names ASAP so we can begin to include Enron in the Thursday 1000am EST900am CST weekly meetings So far we have received the names from Mkt RiskCredit Risk only PS Call in number for Thursdays call is 1 Free phone in USA 1 Save this number it will be used for all future Integration Team meetings rgds Mark Visit our website at  This message contains confidential information and is intended only for the individual named If you are not the named addressee you should not disseminate distribute or copy this enotify the sender immediately by ee Eas information could be intercepted corrupted lost destroyed arrive late or incomplete or contain viruses The sender therefore does not accept liability for any errors or omissions in the contents of this message which arise as a result of everification is required please request a hardmessage is provided for informational purposes and should not be construed as a solicitation or offer to buy or sell any securities or related financial instruments
352714,XX If you are unable to send the completed reply form at this time please forward your shirt size so we can finalize the order Shirt sizes are as follows Small  Medium chest size 34 Large  XXXThe shirt is a shortThanks for your assistance Dorie Hitchcock Event Manager Enron 1400 Smith Street Suite 3640a Houston TX 77002 Telephone 713 853Fax 713 646Cell 713 594EMail 
44452,Alert Posted 1225 PM Tuesday September 4 2001 Daily Balancing  Cashout Trading Update In keeping with the previously stated schedule the trading period will be extended until 9701 according to the following Trading period endstrades may be accepted until 1000 am on 9701 We apologize for any inconvenience this may have caused Please contact Scott Mosley if you have any questions or concerns 
279381,cayman rocked it is such a nice place and everything was on the big e 
479785, All ENA has a new registered agent as of its February 2001 filing of a Certificate of Change with the Delaware Secretary of State As a result I have updated those SWAP FORMS which include a process agent provision For your convenience attached are REDLINED versions of the following documents 1 Deemed ISDA 2 Schedule to the ISDA Master Agreement Regards Susan S Bailey Senior Legal Specialist Enron Wholesale Services Legal Department 1400 Smith Street Suite 3803A Houston Texas 77002 phone 713 853fax 713 646email susanbailey enroncom
315540,We are very early in the process on this one so you havent missed out on any opportunities Kay PM David Tucker 06092000 1129 AM    I attach the new draft of the Agency Agreement I received from Peoples a few moments ago Simon Helfrich called to comment on the credit provisions The essence of their proposal is that the LLC acts as a guarantor of all accounts receivable from parties for whom the LLC has performed the credit check I look forward to discussing this draft with you Thanks DT Received from bpmcwebbracepattcom mcafeebracepattcom 17216117 by bracepattcom Fri 09 Jun 2000 110939 Received FROM relaypecorpcom BY bpmcwebbracepattcom  Fri Jun 09 111721 2000 XReceived From RELAYPECORPCOM 1010404010104040 port2824 by relaypecorpcom Mail essentials server 2422 with SMTP id for  Fri 9 Jun 2000 110939 AM Received by relaypecorpcom with Internet Mail Service 55265021 id  Fri 9 Jun 2000 110939       Xboundary David Attached for MEHs review is a redlined draft of the Agency Agreement All changes are marked against your draft dated May 24 2000 Please note that this Agreement is still subject to further review by Peoples Gas Once you and your clients have had a chance to review this draft please call me so that we can arrange a meeting to discuss any outstanding issues Meanwhile please call me with any questions Simon Halfin 312 240 HubAgreementv The information transmitted is intended only for the person or entity to which it is addressed and may contain confidential andor privileged material Any review retransmission dissemination or other use of or taking of any action in reliance upon this information by persons or entities other than the intended recipient is prohibited If you received this in error please contact the sender and delete the material from any computer 
167846,Since we now fall under Enron Net Works our companycc numbers have changed Our new Company Number is 083E replaces 413 Our new Cost Center is 103855 replaces 105590 Our Org ID is 01029349 When we get any news on the WBS Elements use to be Work Orders you all know Thanks Sandy
205532,0537 PM Shirley Crenshaw 11152000 0248 PM   Enron Kayla CrenshawEnron CommunicationsEnron Communications Anita DuPontNAEnronENRON  Vince J KaminskiHOUECTECT Kelly SummersHOUECTECT This is so funny We all need a good laugh after this past week 
